case_id,basarili_iterasyon,final_basarili
BUGRA-001,3,True
BUGRA-002,3,True
BUGRA-003,1,True
BUGRA-004,3,True
BUGRA-005,3,True
BUGRA-006,3,True
BUGRA-007,3,True
BUGRA-008,1,True
BUGRA-009,3,True
BUGRA-010,3,True
BUGRA-011,3,True
BUGRA-012,3,True
BUGRA-013,3,True
BUGRA-014,3,True
BUGRA-015,3,True
BUGRA-016,2,True
BUGRA-017,2,True
BUGRA-018,3,True
BUGRA-019,3,True
BUGRA-020,3,True
